factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
above200_deterioration_10d,10,1,414,0.009681764092207912,0.01013145453645048,0.6497584541062802,0.01178860932371595,0.11594202898550725
above200_deterioration_10d,10,2,414,0.008826411702119175,0.012425999067885218,0.6714975845410628,0.012534451255720542,0.1473429951690821
above200_deterioration_10d,10,3,413,0.0021082698091602725,0.0035110103195512554,0.5520581113801453,0.017655613177329017,0.21307506053268765
above200_deterioration_10d,10,4,413,0.005960215228480894,0.006315828811285673,0.6004842615012107,0.01784838717709519,0.22518159806295399
above200_deterioration_10d,10,5,414,0.005213261307393589,0.008927092309544804,0.5942028985507246,0.025417615954715204,0.30917874396135264
above200_deterioration_10d,20,1,412,0.018032689054248485,0.02219649880151431,0.7014563106796117,0.018024356807643523,0.20388349514563106
above200_deterioration_10d,20,2,411,0.019659158717592537,0.025786444289070287,0.681265206812652,0.018660284657465213,0.25547445255474455
above200_deterioration_10d,20,3,412,0.0067207228779323875,0.01078788047869339,0.5946601941747572,0.02663245694102123,0.3859223300970874
above200_deterioration_10d,20,4,412,0.01151603850469258,0.014254077172470292,0.6529126213592233,0.026812570638249246,0.3567961165048544
above200_deterioration_10d,20,5,411,0.009365448134921784,0.01043647027037875,0.5863746958637469,0.03781092035221972,0.41605839416058393
above200_deterioration_20d,1,1,414,0.0012556027614050215,0.0018356577341653857,0.6038647342995169,0.0022183960778860107,0.004830917874396135
above200_deterioration_20d,1,2,413,0.0012735715663080205,0.0018727392168012003,0.6053268765133172,0.0021546657308965365,0.004842615012106538
above200_deterioration_20d,1,3,413,0.00016751538489007272,0.0007592998437175869,0.5399515738498789,0.0028122161246973607,0.002421307506053269
above200_deterioration_20d,1,4,413,0.0005847703579766106,0.001695421247897011,0.5811138014527845,0.0031657690288807365,0.004842615012106538
above200_deterioration_20d,1,5,414,-9.70346864923706e-05,0.0008983818759459306,0.5483091787439613,0.004998498515297952,0.024154589371980676
above200_deterioration_20d,5,1,413,0.004860234272043489,0.006553432280055116,0.6246973365617433,0.008247378429501236,0.06537530266343826
above200_deterioration_20d,5,2,412,0.005098478684506072,0.0048356362044102985,0.6116504854368932,0.00760795640900938,0.055825242718446605
above200_deterioration_20d,5,3,413,0.001026157395198356,0.003479650181662297,0.5738498789346247,0.010713691169941099,0.09200968523002422
above200_deterioration_20d,5,4,412,0.003736424194671115,0.0033897667389167774,0.5728155339805825,0.010431845675403265,0.09466019417475728
above200_deterioration_20d,5,5,413,0.0014468718553636213,0.004029715353967456,0.5665859564164649,0.016885856830471935,0.20581113801452786
above200_deterioration_20d,10,1,412,0.011605098225933303,0.013412622174983846,0.6747572815533981,0.011530313423376326,0.10679611650485436
above200_deterioration_20d,10,2,411,0.008614541205210094,0.012236113070894339,0.6763990267639902,0.01320369836195133,0.14841849148418493
above200_deterioration_20d,10,3,412,0.0019629635711670996,0.003684784874007696,0.5606796116504854,0.016914338909463554,0.20388349514563106
above200_deterioration_20d,10,4,411,0.006748583605577275,0.005768210629280013,0.5912408759124088,0.01596902175963963,0.2116788321167883
above200_deterioration_20d,10,5,412,0.003860309270622972,0.006881108892892396,0.5800970873786407,0.027011542653648496,0.3276699029126214
above200_deterioration_20d,20,1,411,0.020556133297709,0.025974189544604398,0.7299270072992701,0.017596269731929615,0.19951338199513383
above200_deterioration_20d,20,2,408,0.0166526647548957,0.01651018806144977,0.6421568627450981,0.01941877523277512,0.25
above200_deterioration_20d,20,3,410,0.0066546002470935705,0.011486869801167865,0.5926829268292683,0.025919963493866972,0.36341463414634145
above200_deterioration_20d,20,4,409,0.013565502291399831,0.012014294223575472,0.6479217603911981,0.02375704417348066,0.3545232273838631
above200_deterioration_20d,20,5,410,0.00919038281044107,0.015773319959088927,0.6195121951219512,0.040379720910598035,0.43414634146341463
above50_deterioration_5d,1,1,417,0.0015927450445942803,0.0019779843515270734,0.6354916067146283,0.00208569456418992,0.0
above50_deterioration_5d,1,2,416,0.0012523545101221652,0.0015357716187031079,0.5889423076923077,0.002229057910759843,0.0
above50_deterioration_5d,1,3,416,0.00010873734266321943,0.001006804776292114,0.5408653846153846,0.0030433011493544446,0.01201923076923077
above50_deterioration_5d,1,4,416,0.0004336071509818911,0.001580615299449195,0.5600961538461539,0.0035420190771961032,0.01201923076923077
above50_deterioration_5d,1,5,417,-0.00025144806986751464,0.0008997511520516532,0.5491606714628298,0.0044201998669308965,0.016786570743405275
above50_deterioration_5d,5,1,416,0.0037674079158894463,0.004988316781183277,0.6177884615384616,0.008672630971158179,0.0673076923076923
above50_deterioration_5d,5,2,415,0.0036835982701048293,0.004271703178625685,0.5807228915662651,0.009117184810984925,0.0819277108433735
above50_deterioration_5d,5,3,416,0.0023660078194366954,0.0017332367312149488,0.5552884615384616,0.010097017333485956,0.09375
above50_deterioration_5d,5,4,415,0.0027217139208157576,0.005498049636933011,0.5855421686746988,0.012066599977757978,0.13975903614457832
above50_deterioration_5d,5,5,416,0.0031961747643714806,0.005873765395191355,0.5985576923076923,0.013979205556913942,0.13221153846153846
above50_deterioration_5d,10,1,415,0.008780938910392786,0.010718637258081642,0.6602409638554216,0.01390621284626914,0.163855421686747
above50_deterioration_5d,10,2,414,0.005813920529137601,0.006106048208753934,0.5845410628019324,0.015131850365352558,0.18840579710144928
above50_deterioration_5d,10,3,415,0.006400141880040028,0.004082293994699837,0.5831325301204819,0.015340617515900986,0.18313253012048192
above50_deterioration_5d,10,4,414,0.00630126746900737,0.010123424197892472,0.6280193236714976,0.01846615295997689,0.22946859903381642
above50_deterioration_5d,10,5,415,0.0044133037655217046,0.00899173766483985,0.6120481927710844,0.02229130422940421,0.2433734939759036
above50_deterioration_5d,20,1,413,0.017768423847293293,0.02272371182598487,0.7021791767554479,0.02038752032484674,0.2639225181598063
above50_deterioration_5d,20,2,412,0.012249866845769094,0.016498013900096642,0.6432038834951457,0.023079478656465854,0.32038834951456313
above50_deterioration_5d,20,3,413,0.013225800469109329,0.016859904968765216,0.6246973365617433,0.023920444302906317,0.34624697336561744
above50_deterioration_5d,20,4,413,0.01245123873901968,0.015982259423123146,0.6416464891041163,0.027424304285197966,0.32929782082324455
above50_deterioration_5d,20,5,412,0.00884539699389889,0.010565637856197796,0.5970873786407767,0.03357605835512324,0.36650485436893204
above50_deterioration_10d,1,1,416,0.0016011448944835893,0.001870631774626208,0.6225961538461539,0.0020684498943201474,0.002403846153846154
above50_deterioration_10d,1,2,415,0.0005236129238255021,0.0013374773382419658,0.5686746987951807,0.002642283382173686,0.007228915662650603
above50_deterioration_10d,1,3,415,-0.0001322132953920331,0.0010025274380467408,0.5614457831325301,0.003087645784351993,0.004819277108433735
above50_deterioration_10d,1,4,415,0.0007447216224622871,0.0013772285201769652,0.5469879518072289,0.0032748271207404165,0.00963855421686747
above50_deterioration_10d,1,5,416,0.00039954984037657824,0.0015368303372804704,0.5745192307692307,0.004271120192043826,0.016826923076923076
above50_deterioration_10d,5,1,415,0.0051739948345148196,0.007184932622183116,0.6409638554216868,0.007805767685096962,0.05783132530120482
above50_deterioration_10d,5,2,414,0.002655806934754951,0.0019138450231958037,0.5410628019323671,0.009952987442141814,0.08454106280193237
above50_deterioration_10d,5,3,415,0.0019863636003300453,0.0027305438451057373,0.5686746987951807,0.01077514973555709,0.11325301204819277
above50_deterioration_10d,5,4,414,0.003805324130258059,0.005541283002613362,0.6014492753623188,0.010368097734583947,0.11352657004830918
above50_deterioration_10d,5,5,415,0.0021997151494179317,0.005556592870616717,0.5903614457831325,0.015079519179335676,0.14698795180722893
above50_deterioration_10d,10,1,414,0.010493260928251301,0.011357053473726508,0.6884057971014492,0.012025716115131509,0.13043478260869565
above50_deterioration_10d,10,2,413,0.006265193602830738,0.00688122991494633,0.5835351089588378,0.015089763397108795,0.1694915254237288
above50_deterioration_10d,10,3,414,0.004699438727922865,0.004533846560608734,0.5748792270531401,0.016782183473182187,0.2222222222222222
above50_deterioration_10d,10,4,413,0.008285566845313846,0.010264732198458804,0.6295399515738499,0.016317702656901103,0.2179176755447942
above50_deterioration_10d,10,5,414,0.0020621197051167725,0.0072744388100191015,0.5917874396135265,0.025019416235864837,0.27053140096618356
