Date,Engine,Ticker,EntryPrice,Qty,Target,StopLoss,HoldDays,CMP,PnL,Status,ExitDate,ExitPrice,Days_Held,Flag,Action,Notes
27-03-2026,E1,HINDCOPPER,475,25,500.17,460.75,3,,625,CLOSED,01-04-2026,500,,,,
06-04-2026,E3,LUPIN,2260,5,2379.78,2192.2,5,2325,250,CLOSED,17-04-2026,2310,,,,
06-04-2026,E1,ACUTAAS,2125,6,2237.62,2061.25,3,2229,624,CLOSED,07-04-2026,2229,0,,,
06-04-2026,E4,BHARATFORG,1659,8,1754.62,1593.6,14,1775,928,CLOSED,08-04-2026,1775,2,CLOSED,,
03-04-2026,E1,EMCURE,1565,7,1647.94,1518.05,3,1564,175,CLOSED,10-04-2026,1590,4,,,
30-03-2026,E3,BSE,2828,5,2977.88,2743.16,5,2975,735,CLOSED,26-04-2026,2975,19,CLOSED,,
08-04-2026,E3,VOLTAMP,9070,1,9550.71,8797.9,5,9530,560,CLOSED,15-04-2026,9630,,,,
08-04-2026,E1,GVT&D,3675,4,3869.77,3564.75,3,3651,740,CLOSED,09-04-2026,3860,,,,
07-04-2026,E1,INOXINDIA,1221,11,1285.71,1184.37,3,1229,759,CLOSED,10-04-2026,1290,,,,
08-04-2026,E3,MRPL,179.5,75,189.01,174.12,5,170,-637.5,CLOSED,13-04-2026,171,,,,
10-04-2026,E1,SANOFICONR,4605,3,4849.06,4466.85,3,4721,240,CLOSED,21-04-2026,4685,,,,
15-04-2026,E1,GRWRHITECH,3640,5,0,0,0,3640,825,CLOSED,13-04-2026,3805,0,,,
15-04-2026,E1,NATCOPHARMA,1087,18,1144.61,1054.39,3,1093,234,CLOSED,29-04-2026,1100,,,,
15-04-2026,E1,RUBICON,829,10,872.94,804.13,3,820,610,CLOSED,17-04-2026,890,,,,
15-04-2026,E1,COALINDIA,437,22,460.16,423.89,3,440,132,CLOSED,22-04-2026,442,,,,
15-04-2026,E3,TITAN,4496,4,4733.23,4360.15,5,4456,-464,CLOSED,24-04-2026,4380,,,,
15-04-2026,E5,SHRIPISTON,3675,3,3655,3216.4,10,3584,-525,CLOSED,24-04-2026,3485,,,,
13-04-2026,E1,PRAJIND,335,32,352.75,324.95,3,352,224,CLOSED,15-04-2026,342,,,,
13-04-2026,E3,BALRAMCHIN,473,30,498.07,458.81,5,486,840,CLOSED,20-04-2026,501,,,,
27-03-2026,E1,POWERGRID,292,51,307.48,283.24,3,,969,CLOSED,15-04-2026,311,,,,
17-04-2026,E1,EMCURE,1655,5,1742.71,1605.35,3,1608,340,CLOSED,29-04-2026,1723,,,,
16-04-2026,E1,ACUTAAS,2310,5,2432.43,2240.7,3,2290,460,CLOSED,20-04-2026,2402,,,,
20-04-2026,E1,GENUSPOWER.NS,288,45,303.26,279.36,3,308,900,CLOSED,28-04-2026,308,,,,
20-04-2026,E1,METROPOLIS,469,22,493.86,454.93,3,485,572,CLOSED,05-05-2026,495,,,,
20-04-2026,E1,SJS,1690,7,1779.57,1639.3,3,1730,525,CLOSED,30-04-2026,1765,,,,
20-04-2026,E5,THERMAX,4090,3,4090,3599.2,10,4165,60,CLOSED,04-05-2026,4110,,,,
20-04-2026,E1,TVSMOTOR,3761,3,3960.33,3648.17,3,3660,-513,CLOSED,23-04-2026,3590,,,,
22-04-2026,E3,SHREEJISPG.NS,374,25,393.82,362.78,5,391,400,CLOSED,27-04-2026,390,,,,
22-04-2026,E6,KRN,1201,10,1267.05,1164.97,7,1202,860,CLOSED,23-04-2026,1287,,,,
23-04-2026,E1,BAJAJ-AUTO,9600,1,10108.8,9312,3,10000,400,CLOSED,30-04-2026,10000,,,,
23-04-2026,E3,HINDCOPPER,557,18,586.52,540.29,5,568,90,CLOSED,11-05-2026,562,,,,
23-04-2026,E1,BLS,288,45,303.26,279.36,3,274,-630,CLOSED,24-04-2026,274,,,,
23-04-2026,E3,FORCEMOT,21400,1,22902.75,21097.5,5,20750,-1410,CLOSED,24-04-2026,20300,,,,
22-04-2026,E3,MCX,2800,4,2948.4,2716,5,2895,560,CLOSED,29-04-2026,2940,,,,
22-04-2022,E6,TDPOWERSYS,1020,9,1076.1,989.4,7,,414,CLOSED,23-04-2026,1066,1,,,
22-04-2026,E6,SCHNEIDER,1060,7,1118.3,1028.2,7,,630,CLOSED,22-04-2026,1150,,,,
24-04-2026,E3,APARINDS,11850,1,12478.05,11494.5,5,12500,650,CLOSED,29-04-2026,12500,,,,
24-04-2026,E6,DATAPATTNS,3975,2,4193.62,3855.75,7,4055,510,CLOSED,29-04-2026,4230,,,,
24-04-2026,E5,ADANIGREEN,1190,6,1190,1047.2,10,1240,330,CLOSED,29-04-2026,1245,,,,
24-04-2026,E1,MAHABANK,78,101,82.13,75.66,3,78,303,CLOSED,05-05-2026,81,,,,
23-04-2026,E3,SHRIRAMFIN,1032,18,1086.7,1001.04,5,922,-576,CLOSED,03-05-2026,1000,,,,
27-04-2026,E1,NAVA,663,22,698.14,643.11,3,670,726,CLOSED,06-05-2026,696,,,,
27-04-2026,E5,SUZLON,55,150,55,48.4,10,53.2,-300,CLOSED,11-05-2026,53,,,,
27-04-2026,E1,ZENTEC,1690,11,1779.57,1639.3,3,1600,1045,CLOSED,04-06-2026,1785,,,,
27-04-2026,E1,INOXINDIA,1525,12,1605.82,1479.25,3,1471,-876,CLOSED,11-04-2026,1452,,,,
27-04-2026,E1,NAM-INDIA,995,11,1047.73,965.15,3,1021,473,CLOSED,28-04-2026,1038,,,,
28-04-2026,E6,SCHNEIDER,1173,11,1237.51,1137.81,7,1240,770,CLOSED,30-04-2026,1243,,,,
28-04-2026,E3,ABB,7370,2,7760.61,7148.9,5,7005,-1908,CLOSED,11-05-2026,6416,,,,
28-04-2026,E1,BALRAMCHIN,519,35,546.51,503.43,3,530,1015,CLOSED,13-05-2026,548,,,,
28-04-2026,E1,GRWRHITECH,3970,5,4180.41,3850.9,3,4180,1600,CLOSED,04-05-2026,4290,,,,
28-04-2026,E1,ELECON,490,30,515.97,475.3,3,,-330,CLOSED,28-04-2026,479,,,,
29-04-2026,E3,HAPPYFORGE,1314,7,1383.64,1274.58,5,1350,462,CLOSED,07-05-2026,1380,,,,
29-04-2026,E6,KRN,1284,9,1354.62,1245.48,7,1285,441,CLOSED,07-05-2026,1333,,,,
