date,index_close,trend_regime,relative_leadership,participation_impulse,fwd_return_1d,fwd_return_5d,fwd_return_10d,fwd_return_20d,trend_regime_level,relative_leadership_level,participation_impulse_level,combo_label,market_state
2019-12-18,659.256919642857,0.0310241030027797,0.2292269467602228,-0.6840504741680677,0.0023461208862387,0.0035615044129433,0.0166079165835726,0.0372557577169372,MEDIUM,MEDIUM,LOW,MEDIUM Trend + MEDIUM Leadership + LOW Participation,Mixed Terrain
2019-12-19,660.8036160714286,0.0329722734830552,0.1857816843856566,0.1992019898508606,-0.0014654099807183,0.0054723682291333,0.014582825659855,0.0377163871290104,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-20,659.8352678571428,0.0336214262249325,0.2243405815830381,-0.1478119456790556,0.0055299922667386,0.0120337124187519,-0.0010020087535375,0.0365706132009413,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-23,663.4841517857142,0.0380437667603702,0.1908895573347049,0.0174023901503741,-0.0040748093549709,0.004195519526418,-0.0027221018372637,0.0280761496819585,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-24,660.7805803571428,0.0315211793580231,0.1191263245069595,-0.1715531181894411,0.0012474424018942,0.0110020717515846,-0.0011491414543877,0.0309233161402386,MEDIUM,LOW,MEDIUM,MEDIUM Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2019-12-26,661.6048660714285,0.0324118299190281,0.2024913042353747,-0.0366145829531164,0.0042546705120241,0.0130001122136116,0.0092640669681116,0.0359576136193182,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-27,664.4197767857142,0.041868380843612,0.256097129253009,0.5956068101093923,0.0050506608108593,0.0090608729972034,0.0090026858154903,0.0391625265411825,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-12-30,667.7755357142858,0.0505965113871042,0.2874756836578573,0.4065373284812384,-0.0022578293657808,-0.0128807183123714,0.0093176492421664,0.0346609866499729,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-12-31,666.2678125,0.048998260089968,0.2532410467131833,-0.0431953505605717,0.0026756856339742,-0.0068887196060624,0.0168703610778564,0.0344234297139871,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-01,668.0505357142857,0.0555896119735118,0.3057366142297127,-0.2162702089121846,0.0032262048182305,-0.0120189795307936,0.0200243485643061,0.0347849807128042,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-02,670.2058035714286,0.0677295364053219,0.3564643042776417,0.5369945739473125,0.0003494395711336,-0.0036880995376554,0.0203105256181301,0.0229786159768352,MEDIUM,HIGH,HIGH,MEDIUM Trend + HIGH Leadership + HIGH Participation,Fog
2020-01-03,670.4399999999999,0.0671070321569734,0.3511411858959229,0.0274707589310482,-0.0168037301729354,-5.766468928714019e-05,0.022801057621008,0.0196936233773983,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-06,659.1741071428571,0.0273396005747284,0.1047914732776811,-0.5704699256542927,0.003798652263723,0.022488029528292,0.0376103078121299,0.0355978463309742,MEDIUM,LOW,LOW,MEDIUM Trend + LOW Leadership + LOW Participation,Mixed Terrain
2020-01-07,661.6780803571429,0.0380282532967824,0.2421875904396128,-0.068534916401,-0.002503982535206,0.023923885623869,0.0308823163292411,0.0432639847185074,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-08,660.02125,0.0361630798058996,0.2183744623049483,-0.0916905517873752,0.0116856356627044,0.0324331413571912,0.0321093557864342,0.0499866211017558,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-09,667.7340178571428,0.0610031683406344,0.3645156375313213,1.8577228807435464,0.0039945867025485,0.0240874621136704,0.0264485257375659,0.040586493151612,MEDIUM,HIGH,HIGH,MEDIUM Trend + HIGH Leadership + HIGH Participation,Fog
2020-01-10,670.4013392857142,0.0663816377848927,0.3824863929117298,-0.2121884416373072,0.0053643906002467,0.0228600405274292,0.0298907437509114,0.0448125756226782,MEDIUM,HIGH,MEDIUM,MEDIUM Trend + HIGH Leadership + MEDIUM Participation,Fog
